Date,Open,High,Low,Close,Volume,Company,Ticker
2023-09-28,194.79824284327609,194.79824284327609,188.95195704365796,189.58335876464844,16876116,Wipro,WIPRO.NS
2023-09-29,189.4196538019094,191.4073909097072,187.78269383078177,189.91073608398438,12780272,Wipro,WIPRO.NS
2023-10-03,190.0978298048795,190.86953665564275,188.7648738227475,189.630126953125,5728104,Wipro,WIPRO.NS
2023-10-04,188.34395650940988,189.63013943640368,187.38515703630077,189.37289428710938,6905870,Wipro,WIPRO.NS
2023-10-05,190.79939010075213,191.94525355979877,189.41966093529328,190.2615203857422,8125304,Wipro,WIPRO.NS
2023-10-06,190.82276182543976,191.66462124187694,190.33167954471108,190.7526092529297,6365004,Wipro,WIPRO.NS
2023-10-09,189.0455057020781,192.22587950778518,188.67133484230385,189.70028686523438,6030450,Wipro,WIPRO.NS
2023-10-10,190.0744393491543,191.17354392420654,189.98090734109877,190.70584106445312,5128014,Wipro,WIPRO.NS
2023-10-11,191.29048100819674,198.28264488634204,191.29048100819674,196.9730682373047,19092228,Wipro,WIPRO.NS
2023-10-12,197.25367277327956,197.32382534464912,193.95637346048792,195.078857421875,10234398,Wipro,WIPRO.NS
2023-10-13,192.64680259964408,193.8160597339866,191.31384661186192,192.24925231933594,10914054,Wipro,WIPRO.NS
2023-10-16,192.22588694777653,192.64681669230038,190.8929308624849,191.8517303466797,5277652,Wipro,WIPRO.NS
2023-10-17,192.5532680265445,193.55882629404584,192.24924975714052,192.41294860839844,5979388,Wipro,WIPRO.NS
2023-10-18,191.2904702245965,193.46528567447425,190.35506450222684,190.56553649902344,4881066,Wipro,WIPRO.NS
2023-10-19,183.31614141019887,185.56110942555463,182.4508882658702,184.8829345703125,25629102,Wipro,WIPRO.NS
2023-10-20,184.76601933282885,185.23372221864608,182.87182835453285,183.26937866210938,8429336,Wipro,WIPRO.NS
2023-10-23,182.80165006513045,183.80720827357322,178.75602352646314,179.20033264160156,8837826,Wipro,WIPRO.NS
2023-10-25,179.784967456165,181.32839538016802,178.24155380531985,178.5923309326172,6678294,Wipro,WIPRO.NS
2023-10-26,177.1658459881349,177.9843260316155,175.4119601806765,176.9086151123047,10995582,Wipro,WIPRO.NS
2023-10-27,177.282774295597,179.76160817020565,177.282774295597,178.82620239257812,6202812,Wipro,WIPRO.NS
2023-10-30,179.59789655595551,179.76159541005225,177.91416342111174,178.66249084472656,4688744,Wipro,WIPRO.NS
2023-10-31,179.2237499204754,179.6446796592415,177.32954468628913,178.56895446777344,6153536,Wipro,WIPRO.NS
2023-11-01,179.52775272906075,180.32283905844787,177.79724636971142,178.17141723632812,4241952,Wipro,WIPRO.NS
